# X Y Z Label
497095.670 5419980.540 275.260 Roof
497095.670 5419980.890 275.260 Roof
497095.660 5419980.210 275.260 Roof
497095.650 5419979.870 275.230 Roof
497095.330 5419979.890 275.230 Low Veg
497095.290 5419980.250 275.240 Low Veg
497095.290 5419980.590 275.190 Low Veg
497095.290 5419980.960 275.210 Low Veg
497095.280 5419980.220 275.220 Low Veg
497095.270 5419979.860 275.200 Low Veg
497095.260 5419980.590 275.240 Low Veg
497095.220 5419980.930 275.220 Low Veg
497095.130 5419979.680 275.220 Low Veg
497095.100 5419980.030 275.240 Low Veg
497095.060 5419980.370 275.250 Powerline
497095.020 5419980.700 275.240 Powerline
497094.980 5419981.040 275.250 Powerline
497094.430 5419979.700 275.210 Powerline
497094.390 5419980.030 275.190 Powerline
497094.360 5419980.360 275.210 Powerline
497094.320 5419980.700 275.230 Powerline
497094.320 5419981.040 275.230 Powerline
497094.310 5419980.670 275.210 Powerline
497094.300 5419980.300 275.230 Powerline
497094.290 5419979.950 275.200 Powerline
497094.280 5419981.030 275.230 Powerline
497094.200 5419979.840 275.230 Powerline
497094.170 5419980.140 275.210 Powerline
497094.130 5419980.460 275.230 Powerline
497094.100 5419980.780 275.250 Powerline
497094.060 5419981.090 275.250 Powerline
497093.910 5419980.960 275.200 Powerline
497093.900 5419980.570 275.190 Powerline
497093.890 5419980.180 275.210 Powerline
497093.880 5419979.800 275.180 Powerline
497093.510 5419979.910 275.170 Powerline
497093.480 5419980.250 275.200 Powerline
497093.440 5419980.600 275.200 Powerline
497093.400 5419980.950 275.200 Car
497093.280 5419979.850 275.200 Powerline
497093.240 5419980.190 275.220 Powerline
497093.200 5419980.540 275.230 Powerline
497093.160 5419980.890 275.240 Powerline
497092.940 5419981.000 275.200 Powerline
497092.930 5419980.650 275.200 Roof
497092.920 5419980.300 275.190 Roof
497092.910 5419979.970 275.200 Roof
497092.600 5419979.790 275.170 Roof
497092.570 5419980.750 275.140 Roof
497092.570 5419981.110 275.180 Roof
497092.560 5419980.110 275.150 Roof
497092.560 5419980.390 275.100 Roof
497092.550 5419980.000 275.180 Roof
497092.530 5419980.420 275.050 Roof
497092.480 5419980.800 275.160 Car
497092.450 5419981.150 275.200 Roof
497092.370 5419979.670 275.190 Roof
497092.330 5419980.010 275.200 Roof
497092.300 5419980.300 275.130 Roof
497092.260 5419980.650 275.200 Roof
497092.220 5419980.980 275.220 Car
497091.650 5419979.870 275.180 Roof
497091.630 5419980.940 275.200 Roof
497091.620 5419980.570 275.210 Car
497091.610 5419979.850 275.180 Powerline
497091.610 5419980.200 275.190 Powerline
497091.610 5419980.210 275.180 Powerline
497091.570 5419980.530 275.200 Powerline
497091.540 5419980.870 275.210 Powerline
497091.500 5419981.200 275.220 Car
497091.460 5419979.660 275.190 Powerline
497091.430 5419979.970 275.200 Powerline
497091.390 5419980.290 275.210 Powerline
497091.350 5419980.610 275.220 Powerline
497091.320 5419980.920 275.200 Roof
497091.230 5419981.160 275.210 Roof
497091.220 5419980.420 275.190 Powerline
497091.220 5419980.780 275.220 Powerline
497091.210 5419980.050 275.180 Roof
497091.200 5419979.670 275.190 Roof
497090.700 5419979.780 275.220 Roof
497090.660 5419980.110 275.210 Powerline
497090.620 5419980.450 275.230 Roof
497090.590 5419980.780 275.240 Roof
497090.550 5419981.120 275.270 Powerline
497090.520 5419979.780 275.230 Powerline
497090.490 5419980.090 275.250 Roof
497090.450 5419980.400 275.250 Roof
497090.420 5419980.710 275.270 Powerline
497090.380 5419981.010 275.300 Roof
497090.290 5419980.910 275.260 Powerline
497090.280 5419980.550 275.270 Roof
497090.270 5419979.810 275.270 Roof
497090.270 5419980.190 275.250 Powerline
497089.910 5419981.110 275.270 Powerline
497089.900 5419980.740 275.260 Powerline
497089.890 5419980.370 275.270 Roof
497089.880 5419979.980 275.270 Powerline
497089.750 5419979.810 275.270 Roof
497089.710 5419980.140 275.280 Roof
497089.680 5419980.480 275.280 Powerline
497089.640 5419980.820 275.300 Roof
497089.600 5419981.150 275.300 Roof
497089.550 5419979.730 275.310 Roof
497089.520 5419980.030 275.280 Roof
497089.480 5419980.340 275.300 Roof
497089.450 5419980.670 275.320 Roof
497089.410 5419980.970 275.310 Roof
497088.960 5419981.060 275.310 Roof
497088.940 5419980.330 275.300 Roof
497088.930 5419979.970 275.280 Roof
497088.890 5419979.670 275.260 Roof
497088.850 5419980.020 275.290 Roof
497088.810 5419980.370 275.290 Roof
497088.770 5419980.710 275.300 Roof
497088.730 5419981.060 275.320 Roof
497088.630 5419979.750 275.290 Roof
497088.590 5419980.070 275.300 Roof
497088.570 5419981.210 275.320 Roof
497088.560 5419980.820 275.310 Roof
497088.550 5419980.390 275.310 Roof
497088.550 5419980.450 275.300 Roof
497088.520 5419980.720 275.320 Roof
497088.480 5419981.050 275.360 Roof
497087.940 5419979.810 278.660 Powerline
497087.900 5419980.140 278.650 Powerline
497087.860 5419980.470 278.660 Powerline
497087.830 5419980.800 278.680 Powerline
497087.790 5419981.130 278.680 Powerline
497087.720 5419979.790 278.650 Powerline
497087.680 5419980.110 278.660 Powerline
497087.650 5419980.410 278.670 Powerline
497087.610 5419980.730 278.690 Powerline
497087.580 5419981.030 278.670 Powerline
497087.530 5419981.210 278.680 Powerline
497087.520 5419980.540 278.640 Powerline
497087.520 5419980.880 278.650 Powerline
497087.510 5419980.190 278.670 Powerline
497087.500 5419979.850 278.650 Powerline
497087.150 5419981.170 278.680 Powerline
497087.140 5419980.810 278.660 Powerline
497087.130 5419980.090 278.640 Powerline
497087.130 5419980.460 278.630 Powerline
497087.110 5419979.720 278.660 Powerline
497086.990 5419979.950 278.660 Roof
497086.960 5419980.280 278.650 Powerline
497086.920 5419980.620 278.650 Roof
497086.880 5419980.970 278.680 Roof
497086.780 5419979.750 278.690 Roof
497086.740 5419980.080 278.670 Powerline
497086.710 5419980.420 278.680 Roof
497086.670 5419980.750 278.690 Roof
497086.630 5419981.090 278.690 Roof
497086.250 5419981.180 278.660 Roof
497086.240 5419980.810 278.670 Roof
497086.820 5419979.420 278.690 Car
497086.860 5419979.090 278.700 Roof
497086.900 5419978.760 278.680 Roof
497086.930 5419978.420 278.680 Roof
497086.970 5419978.100 278.690 Roof
497087.030 5419979.600 278.650 Roof
497087.070 5419979.260 278.670 Roof
497087.080 5419978.260 278.650 Car
497087.090 5419978.620 278.670 Car
497087.100 5419978.990 278.670 Roof
497087.110 5419978.930 278.670 Powerline
497087.110 5419979.360 278.650 Roof
497087.140 5419978.600 278.680 Roof
497087.180 5419978.260 278.700 Roof
497087.460 5419978.140 278.670 Powerline
497087.470 5419978.480 278.690 Powerline
497087.480 5419978.820 278.670 Roof
497087.480 5419979.170 278.660 Roof
497087.490 5419979.520 278.650 Roof
497087.750 5419979.490 278.660 Car
497087.790 5419979.190 278.670 Roof
497087.820 5419978.890 278.710 Car
497087.860 5419978.580 278.690 Roof
497087.890 5419978.270 278.690 Car
497087.970 5419979.490 278.670 Car
497088.010 5419979.160 278.650 Car
497088.040 5419978.840 278.680 Car
497088.080 5419978.520 278.670 Roof
497088.110 5419978.200 278.670 Car
497088.420 5419978.420 278.820 Car
497088.430 5419978.800 278.810 Powerline
497088.440 5419979.180 278.810 Powerline
497088.670 5419979.420 275.260 Powerline
497088.700 5419979.100 275.280 Powerline
497088.710 5419978.690 283.270 Powerline
497088.720 5419978.710 282.680 Powerline
497088.990 5419976.560 275.280 Powerline
497088.720 5419978.720 281.640 Powerline
497088.950 5419976.860 275.210 Powerline
497088.720 5419978.850 277.740 Car
497088.730 5419978.730 280.610 Car
497088.730 5419978.740 278.450 Roof
497088.730 5419978.750 279.570 Roof
497088.740 5419978.790 275.290 Roof
497088.900 5419978.150 275.240 Roof
497088.900 5419978.500 275.250 Car
497088.910 5419978.880 275.250 Roof
497088.920 5419979.230 275.310 Roof
497088.920 5419979.340 275.290 Powerline
497088.930 5419979.600 275.280 Powerline
497088.960 5419978.990 275.250 Powerline
497088.970 5419978.640 283.310 Powerline
497089.000 5419978.650 275.250 Powerline
497089.040 5419978.310 275.230 Powerline
497089.590 5419979.410 275.300 Powerline
497089.630 5419979.090 275.260 Powerline
497089.660 5419978.780 275.240 Facade
497089.700 5419978.470 275.240 Powerline
497089.730 5419978.160 275.240 Powerline
497089.790 5419979.480 275.260 Facade
497089.820 5419979.150 275.270 Powerline
497089.840 5419978.120 275.200 Roof
497089.840 5419978.500 275.240 Car
497089.850 5419978.870 275.230 Facade
497089.860 5419978.810 275.240 Roof
497089.860 5419979.250 275.230 Car
497089.870 5419979.620 275.250 Facade
497089.900 5419978.490 275.240 Roof
497089.930 5419978.160 275.240 Roof
497090.230 5419978.370 275.240 Powerline
497090.240 5419978.730 275.210 Powerline
497090.250 5419979.090 275.240 Powerline
497090.260 5419979.460 275.240 Powerline
497090.560 5419979.490 275.240 Car
497090.590 5419979.180 275.220 Car
497090.620 5419978.880 275.230 Car
497090.660 5419978.590 275.220 Powerline
497090.690 5419978.280 275.230 Car
497090.730 5419979.450 275.190 Powerline
497090.770 5419979.120 275.190 Roof
497090.810 5419978.790 275.200 Roof
497090.840 5419978.460 275.170 Roof
497090.880 5419978.130 275.170 Facade
497091.470 5419979.550 275.920 Facade
497091.500 5419979.310 276.140 Roof
497091.540 5419978.380 276.590 Roof
497091.550 5419978.780 276.520 Roof
497091.680 5419979.540 275.210 Facade
497091.700 5419979.400 275.840 Roof
497091.750 5419978.940 276.560 Facade
497092.410 5419979.290 276.080 Facade
497092.410 5419979.350 275.200 Facade
497092.530 5419979.280 275.140 Facade
497092.540 5419979.640 275.160 Facade
497092.630 5419979.440 275.180 Facade
497092.670 5419979.100 275.160 Facade
497092.710 5419978.760 275.180 Facade
497092.750 5419978.430 275.140 Facade
497092.780 5419978.080 275.120 Facade
497092.880 5419978.230 275.170 Powerline
497092.890 5419978.590 275.170 Powerline
497092.890 5419978.920 275.180 Powerline
497092.900 5419979.270 275.180 Powerline
497092.910 5419979.620 275.190 Powerline
497093.320 5419979.500 275.180 Powerline
497093.360 5419979.150 275.180 Powerline
497093.400 5419978.810 275.200 Powerline
497093.430 5419978.470 275.170 Powerline
497093.470 5419978.130 275.170 Powerline
497093.550 5419979.560 275.180 Facade
497093.590 5419979.210 275.160 Roof
497093.630 5419978.860 275.150 Roof
497093.670 5419978.520 275.150 Facade
497093.700 5419978.170 275.150 Roof
497093.840 5419978.260 275.160 Roof
497093.850 5419978.650 275.150 Facade
497093.860 5419979.020 275.190 Roof
497093.870 5419979.420 275.180 Facade
497094.240 5419979.520 275.200 Roof
497094.260 5419978.100 275.160 Facade
497094.260 5419978.470 275.180 Facade
497094.270 5419978.850 275.160 Roof
497094.270 5419979.200 275.200 Facade
497094.280 5419979.210 275.190 Roof
497094.290 5419979.580 275.190 Facade
497094.310 5419978.900 275.200 Facade
497094.340 5419978.590 275.200 Roof
497094.380 5419978.270 275.170 Facade
497094.460 5419979.360 275.190 Facade
497094.500 5419979.040 275.180 Car
497094.540 5419978.710 275.180 Powerline
497094.570 5419978.380 275.170 Powerline
497095.170 5419979.340 275.210 Powerline
497095.210 5419979.020 275.220 Powerline
497095.230 5419978.390 275.150 Powerline
497095.240 5419978.760 275.180 Powerline
497095.250 5419978.680 275.200 Powerline
497095.250 5419979.120 275.200 Powerline
497095.260 5419979.490 275.180 Powerline
497095.280 5419978.350 275.250 Roof
497095.370 5419979.540 275.210 Roof
497095.410 5419979.200 275.210 Powerline
497095.450 5419978.860 275.200 Car
497095.490 5419978.500 275.190 Roof
497095.520 5419978.160 275.180 Roof
497095.620 5419978.170 275.200 Roof
497095.630 5419978.520 275.200 Powerline
497095.630 5419978.860 275.200 Roof
497095.640 5419979.200 275.200 Car
497095.650 5419979.540 275.230 Powerline
497096.060 5419979.470 275.250 Roof
497096.100 5419979.130 275.230 Powerline
497096.140 5419978.790 275.240 Powerline
497096.170 5419978.460 275.210 Powerline
497096.210 5419978.120 275.220 Roof
497096.290 5419979.550 275.230 Powerline
497096.330 5419979.190 275.200 Powerline
497096.360 5419978.860 275.210 Powerline
497096.400 5419978.510 275.220 Roof
497096.440 5419978.160 275.190 Powerline
497096.590 5419978.250 275.210 Powerline
497096.600 5419978.630 275.200 Powerline
497096.610 5419979.000 275.220 Powerline
497096.620 5419979.370 275.220 Powerline
497096.590 5419976.790 275.180 Powerline
497096.590 5419977.880 275.180 Powerline
497096.580 5419977.500 275.180 Powerline
497096.570 5419977.130 275.160 Powerline
497096.560 5419976.740 275.200 Powerline
497096.550 5419977.130 275.190 Powerline
497096.510 5419977.480 275.190 Powerline
497096.360 5419976.790 275.200 Powerline
497096.320 5419977.130 275.200 Powerline
497096.290 5419977.460 275.230 Powerline
497096.250 5419977.790 275.200 Roof
497095.670 5419976.790 275.170 Roof
497095.640 5419977.130 275.170 Roof
497095.610 5419977.830 275.180 Powerline
497095.600 5419977.140 275.190 Roof
497095.600 5419977.480 275.190 Powerline
497095.600 5419977.500 275.170 Powerline
497095.590 5419976.810 275.170 Powerline
497095.560 5419977.830 275.190 Powerline
497095.470 5419976.680 275.180 Powerline
497095.430 5419977.000 275.170 Powerline
497095.400 5419977.340 275.180 Powerline
497095.360 5419977.670 275.160 Powerline
497095.320 5419978.010 275.210 Powerline
497095.220 5419977.650 275.160 Powerline
497095.220 5419978.010 275.160 Powerline
497095.210 5419977.280 275.150 Powerline
497095.200 5419976.900 275.150 Powerline
497095.190 5419976.520 275.170 Powerline
497094.750 5419976.740 275.160 Powerline
497094.720 5419977.080 275.180 Powerline
497094.680 5419977.410 275.190 Roof
497094.650 5419977.720 275.150 Powerline
497094.610 5419978.050 275.160 Powerline
497094.550 5419976.750 275.160 Powerline
497094.520 5419977.060 275.190 Powerline
497094.480 5419977.360 275.190 Powerline
497094.450 5419977.670 275.180 Powerline
497094.410 5419977.960 275.160 Car
497094.250 5419977.740 275.150 Powerline
497094.240 5419977.360 275.150 Powerline
497094.230 5419976.980 275.150 Powerline
497094.220 5419976.620 275.160 Powerline
497093.860 5419976.810 275.150 Powerline
497093.840 5419977.870 275.140 Powerline
497093.830 5419977.480 275.130 Powerline
497093.820 5419977.100 275.130 Powerline
497093.820 5419977.150 275.160 Powerline
497093.810 5419976.710 275.120 Powerline
497093.780 5419977.490 275.140 Powerline
497093.740 5419977.840 275.150 Powerline
497093.630 5419976.770 275.150 Powerline
497093.590 5419977.110 275.160 Powerline
497093.550 5419977.450 275.150 Powerline
497093.510 5419977.790 275.170 Powerline
497092.900 5419977.080 275.110 Powerline
497092.870 5419977.890 275.140 Low Veg
497092.860 5419977.200 275.120 Powerline
497092.860 5419977.420 275.130 Powerline
497092.860 5419977.550 275.120 Low Veg
497092.850 5419976.850 275.110 Low Veg
497092.820 5419977.750 275.140 Powerline
497091.530 5419978.020 276.560 Powerline
497091.510 5419976.660 276.100 Low Veg
497091.510 5419977.240 276.760 Low Veg
497091.130 5419976.690 275.180 Powerline
497091.110 5419976.830 276.130 Powerline
497091.060 5419976.510 275.150 Roof
497091.030 5419976.830 275.160 Powerline
497090.990 5419977.150 275.150 Powerline
497090.950 5419977.490 275.170 Powerline
497090.920 5419977.800 275.170 Powerline
497090.890 5419976.500 275.190 Powerline
497090.860 5419976.790 275.180 Shrub
497090.830 5419977.080 275.190 Powerline
497090.790 5419977.380 275.170 Powerline
497090.760 5419977.680 275.180 Powerline
497090.730 5419977.970 275.190 Powerline
497090.230 5419978.000 275.220 Powerline
497090.220 5419977.630 275.210 Powerline
497090.210 5419977.260 275.220 Powerline
497090.200 5419976.520 275.220 Powerline
497090.200 5419976.890 275.200 Powerline
497090.120 5419976.520 275.230 Car
497090.080 5419976.850 275.230 Powerline
497090.040 5419977.170 275.220 Powerline
497090.010 5419977.490 275.240 Powerline
497089.970 5419977.820 275.240 Powerline
497089.910 5419976.620 275.230 Powerline
497089.870 5419976.930 275.250 Powerline
497089.830 5419977.240 275.240 Powerline
497089.830 5419977.740 275.210 Powerline
497089.820 5419977.370 275.220 Powerline
497089.810 5419976.980 275.230 Powerline
497089.800 5419976.600 275.210 Powerline
497089.800 5419977.540 275.240 Roof
497089.770 5419977.850 275.240 Roof
497089.230 5419976.620 275.230 Roof
497089.190 5419976.960 275.220 Roof
497089.150 5419977.300 275.240 Roof
497089.120 5419977.630 275.240 Roof
497089.080 5419977.980 275.240 Roof
497088.890 5419977.780 275.240 Roof
497088.880 5419977.410 275.230 Roof
497088.870 5419977.040 275.210 Roof
497088.410 5419978.040 278.810 Powerline
497088.400 5419977.640 278.820 Roof
497088.390 5419976.880 278.800 Facade
497088.390 5419977.280 278.800 Facade
497088.380 5419976.510 278.740 Facade
497088.290 5419976.600 278.690 Roof
497088.260 5419976.920 278.690 Facade
497088.220 5419977.240 278.690 Powerline
497088.190 5419977.560 278.680 Powerline
497088.150 5419977.880 278.700 Roof
497088.060 5419976.770 278.680 Powerline
497088.030 5419977.070 278.710 Powerline
497087.990 5419977.360 278.680 Powerline
497087.960 5419977.680 278.690 Powerline
497087.920 5419977.990 278.720 Powerline
497087.460 5419977.790 278.690 Powerline
497087.450 5419977.450 278.700 Roof
497087.440 5419977.100 278.690 Roof
497087.430 5419976.750 278.690 Powerline
497087.370 5419976.590 278.670 Powerline
497087.330 5419976.920 278.700 Roof
497087.290 5419977.250 278.690 Roof
497087.260 5419977.600 278.710 Roof
497087.220 5419977.920 278.680 Roof
497087.120 5419976.790 278.690 Powerline
497087.080 5419977.110 278.680 Roof
497087.070 5419977.880 278.680 Roof
497087.060 5419977.510 278.670 Roof
497087.050 5419977.140 278.670 Roof
497087.040 5419976.780 278.670 Roof
497087.040 5419977.440 278.700 Powerline
497087.010 5419977.780 278.710 Powerline
497087.010 5419975.290 278.660 Powerline
497087.020 5419975.660 278.660 Powerline
497087.030 5419976.020 278.690 Powerline
497087.040 5419976.410 278.650 Powerline
497087.160 5419976.470 278.720 Powerline
497087.190 5419976.140 278.700 Powerline
497087.230 5419975.810 278.710 Powerline
497087.270 5419975.480 278.680 Powerline
497087.300 5419975.160 278.690 Powerline
497087.400 5419975.360 278.680 Powerline
497087.400 5419976.260 278.710 Car
497087.410 5419975.710 278.680 Powerline
497087.420 5419976.060 278.700 Powerline
497087.430 5419976.410 278.690 Powerline
497087.440 5419975.930 278.700 Powerline
497087.480 5419975.590 278.660 Powerline
497087.520 5419975.260 278.680 Powerline
497087.550 5419974.930 278.690 Powerline
497088.100 5419976.470 278.700 Car
497088.130 5419976.180 278.710 Car
497088.160 5419975.870 278.700 Car
497088.200 5419975.580 278.720 Car
497088.230 5419975.280 278.690 Car
497088.260 5419974.990 278.740 Car
497088.330 5419976.290 278.700 Car
497088.350 5419975.350 278.720 Car
497088.360 5419975.750 278.700 Car
497088.360 5419975.970 278.690 Powerline
497088.370 5419976.130 278.730 Roof
497088.400 5419975.650 278.700 Facade
497088.430 5419975.330 278.700 Facade
497088.470 5419975.030 278.710 Powerline
497088.750 5419975.410 278.880 Roof
497088.860 5419976.320 275.130 Facade
497088.760 5419975.790 278.800 Roof
497088.860 5419976.650 275.270 Facade
497089.030 5419976.240 275.240 Roof
497089.060 5419975.920 275.230 Roof
497089.100 5419975.610 275.240 Powerline
497089.130 5419975.300 275.240 Powerline
497089.170 5419974.980 275.230 Powerline
497089.300 5419975.960 275.230 Powerline
497089.340 5419975.620 275.210 Powerline
497089.370 5419975.290 275.230 Powerline
497089.410 5419974.950 275.230 Powerline
497089.940 5419976.320 275.240 Powerline
497089.970 5419976.020 275.230 Powerline
497090.010 5419975.710 275.230 Powerline
497090.040 5419975.410 275.220 Powerline
497090.080 5419975.110 275.220 Roof
497090.150 5419976.200 275.210 Roof
497090.160 5419975.030 275.210 Powerline
497090.170 5419975.410 275.230 Facade
497090.180 5419975.780 275.210 Powerline
497090.190 5419975.880 275.230 Roof
497090.190 5419976.160 275.220 Car
497090.220 5419975.550 275.210 Car
497090.260 5419975.230 275.210 Roof
497090.930 5419976.190 275.180 Facade
497090.960 5419975.900 275.180 Roof
497090.990 5419975.610 275.170 Roof
497091.030 5419975.300 275.140 Powerline
497091.060 5419975.020 275.180 Facade
497091.090 5419975.190 275.120 Facade
497091.100 5419975.560 275.120 Facade
497091.100 5419976.180 275.150 Shrub
497091.110 5419975.940 275.130 Roof
497091.120 5419976.310 275.160 Facade
497091.130 5419975.860 275.150 Powerline
497091.170 5419975.530 275.130 Powerline
497091.210 5419975.220 275.110 Powerline
497091.500 5419975.020 275.130 Powerline
497091.500 5419975.640 275.730 Powerline
497091.510 5419975.400 275.150 Powerline
497091.510 5419976.290 276.060 Powerline
